category,movie_name,review_text
action,movie_a,"A quite easy to watch tale of 2 thieves, with that love/hate type relationship between them. Chrisopher Walken stars and is very good as the silent rogue with a scam bigger than he's letting on."
action,movie_a,"This movie makes you wish imdb would let you vote a zero. One of the two movies I've ever walked out of. It's very hard to think of a worse movie with such big name actors. Well...Armageddon almost takes it, but not quite."
action,movie_a,"I have seen ""Chasing the Dragon"" several times and have enjoyed it each time. The acting was superb. This movie really makes you realize how one bad choice at a weak moment can change your life."
action,movie_a,"Funny, yes. A Freleng classic! To watch Sylvester turn green is always a treat, and it brings us back to the days when cartoon slapstick was brave and geared for the adult mind. Loved it!"
action,movie_a,In my opinion this is the best Oliver Stone flick -- probably more because of Bogosian's influence than anything else. Riviting stuff -- full of dread from the first moment to its dark ending.
action,movie_a,"A very carelessly written film. Poor character and idea development. The silly plot and weak acting by just about the ensemble cast didn't help. Seriously, watching this movie will NOT make you smile. It may make you retch."
action,movie_a,"Young Quaids fake accent was difficult to accept at times.<br /><br />The show was billed as mystery/suspence but should have been listed as a romance.<br /><br />Don't rent this one if you are sleepy, it will knock you out."
action,movie_a,My only question is: Why did they make this movie? Did they have a script or did they make it up as they went along? Boom Boom doesn't look like a Charley Davis. John Garfield probably turned over in his grave if he saw this.
action,movie_a,"Shame to see an interesting story diluted into standard ""Vietnam made for TV"" fare. Usually HBO movies are a substantial cut above TV. Bill Paxton was a pretty good choice for the lead role, but wasn't given much to work with."
drama,movie_b,"The Claude Lelouch's movie is a pretty good moment of cinema. One of the most touching films about family and loneliness, and surely the best interpretation of French actor Jean-Paul Belmondo."
drama,movie_b,"Without a doubt, the WORST movie I have ever seen in my life. There was nothing entertaining about this film. I know it was supposed to be a comedy, but it actually made me cry at the thought of losing the $4.75 admission price."
drama,movie_b,"Chayanne is beautiful enough, Vanessa is beautiful enough, I liked the storyline. But I went in with the expectation to see lots of energetic hot salsa dancing, I was disappointed. There needed to be more dancing, especially salsa."
drama,movie_b,"A quite easy to watch tale of 2 thieves, with that love/hate type relationship between them. Chrisopher Walken stars and is very good as the silent rogue with a scam bigger than he's letting on."
drama,movie_c,"The core message is strong, the cast has given it their best shot, the packaging is excellent, but the screenplay is seriously over-dramatized and every cliche in the book on women's suffering in India has been over-used to the max."
drama,movie_c,"What about DJ Cash Money??? This film fails in part by not covering the mid to late 80s. There was only a small mention of DJ Cheese in 86.<br /><br />Also, it's Grandmixer ""DST"", not ""DXT""!!!!!"
drama,movie_c,Made it through the first half an hour and deserved a medal for getting that far. Lots of excuses for scantily clad women but no real plot to speak of emerged in that time. What sounded like a good idea for a movie was badly executed.
drama,movie_c,"Agreeable ""Boy's Own Paper"" nonsense with a sprightly performance from Cushing, some amusing rubber monsters, colourful jungle sets, & the ever-welcome appearance of Caroline Munro in animal skins."
thriller,movie_c,"This movie was sooooooo sloooow!!! And everything in it was bland, the acting, the plot,etc. It was such a disappointment, since the description looked so good! Do not be fooled! This movie is not worth the time it takes to watch it!!!"
thriller,movie_c,Great underrated movie great action good actors and a wonderful story line. Wesley is verry good and the villain the bad guy is wonderful The girl plays a nice role and the comedy mixed with blakness!
thriller,movie_c,"I think this movie is my favorite movie. I am not sure why, but it is. Julia Duffy has been my favorite actress for awhile, and when I saw this, I went crazy. It's sort of romantic, and I definitely recommend this movie."
thriller,movie_d,"I once lived in the u.p and let me tell you what. I didn't have the foggyest idea what the heck this ""bear walk "" is. I never heard of it the whole 10 years I was up there. It was really funny in the beginning but went down hill quickly."
thriller,movie_d,"A brilliant film by the great John Waters. The characters are unforgettable. The acting, script, and camera-work only enhance the overall greatness of this film. Perversion as an art-form. A must see for all. Easily a perfect 10!"
thriller,movie_d,"Having seen just about every movie on record that a child of the eighties could have seen, this ranks at the very, very, very bottom of the heap of bad movies I have ever seen. It's depressing and just plain, painful to watch. Nuff said."
